,kanji,ucs,jis208,jis212,jis213,radicals,grade,stroke_count,freq,jlpt,readings,meanings,nanori,rad_main,rad_sub
1658,掃,6383,1-33-61,,,64,8.0,11,1255.0,2.0,sao3;sao4;so;소;Tảo;ソウ;シュ;は.く,sweep;brush,か,64,
1659,挿,633f,1-33-62,,,64,8.0,10,1908.0,1.0,cha1;sab;삽;Sáp;Tháp;Khắp;Sấp;Tráp;Xếp;ソウ;さ.す;はさ.む,insert;put in;graft;wear (sword),,64,
1660,掻,63bb,1-33-63,,,64,,11,,,sao1;so;소;Tao;ソウ;か.く,scratch;rake;comb;paddle;behead,,64,
1661,操,64cd,1-33-64,,,64,6.0,16,1016.0,2.0,cao1;cao4;jo;조;Thao;Tháo;ソウ;サン;みさお;あやつ.る,maneuver;manipulate;operate;steer;chastity;virginity;fidelity,さお;みさ,64,
1665,槍,69cd,1-33-68,,,75,9.0,14,2261.0,,qiang1;chang;jaeng;창;쟁;Thương;Sanh;ソウ;ショウ;やり,spear;lance;javelin,うつ,75,
1666,槽,69fd,1-33-69,,,75,8.0,15,1809.0,1.0,cao2;jo;조;Tào;ソウ;ふね,vat;tub;tank,,75,
1667,漕,6f15,1-33-70,,,85,9.0,14,2354.0,,cao2;jo;조;Tào;ソウ;こ.ぐ;はこ.ぶ,rowing;scull;paddle,,85,
1674,総,7dcf,1-33-77,,,120,5.0,14,129.0,2.0,zong3;chong;총;Tổng;ソウ;す.べて;すべ.て;ふさ,general;whole;all;full;total,うさ;ずさ,120,
1675,綜,7d9c,1-33-78,,,120,9.0,14,2194.0,1.0,zong4;zeng4;zong1;jong;종;Tống;Tông;ソウ;おさ.める;す.べる,rule;synthesize,,120,
1677,草,8349,1-33-80,,,140,1.0,9,967.0,2.0,cao3;cho;초;Thảo;ソウ;くさ;くさ-;-ぐさ,grass;weeds;herbs;pasture;write;draft,そ;や,140,
1678,荘,8358,1-33-81,,,140,8.0,9,1489.0,1.0,zhuang1;jang;장;Trang;ソウ;ショウ;チャン;ほうき;おごそ.か,villa;inn;cottage;feudal manor;solemn;dignified,そ,140,
1679,葬,846c,1-33-82,,,140,8.0,12,754.0,1.0,zang4;jang;장;Táng;ソウ;ほうむ.る,interment;bury;shelve,はふり,140,
1680,蒼,84bc,1-33-83,,,140,9.0,13,2276.0,1.0,cang1;chang;창;Thương;Thưởng;ソウ;あお.い,blue;pale,,140,
1681,藻,85fb,1-33-84,,,140,8.0,19,2124.0,1.0,zao3;jo;조;Tảo;ソウ;も,seaweed;duckweed,,140,
1684,送,9001,1-33-87,,,162,3.0,9,311.0,3.0,song4;song;송;Tống;ソウ;おく.る,escort;send,,162,
1685,遭,906d,1-33-88,,,162,8.0,14,1554.0,1.0,zao1;jo;조;Tao;ソウ;あ.う;あ.わせる,encounter;meet;party;association;interview;join,,162,
1686,鎗,9397,1-33-89,,,167,,18,,,qiang1;jaeng;쟁;Sanh;Thương;Sang;ソウ;ショウ;やり,spear;lance;javelin,,167,
1689,像,50cf,1-33-92,,,9,5.0,14,856.0,2.0,xiang4;sang;상;Tượng;ゾウ,statue;picture;image;figure;portrait,かた,9,
1690,増,5897,1-33-93,,,32,5.0,14,231.0,2.0,zeng1;jeung;증;Tăng;ゾウ;ま.す;ま.し;ふ.える;ふ.やす,increase;add;augment;gain;promote,まし;ます,32,
1691,憎,618e,1-33-94,,,61,8.0,14,1808.0,2.0,zeng1;jeung;증;Tăng;ゾウ;にく.む;にく.い;にく.らしい;にく.しみ,hate;detest,,61,
1692,臓,81d3,1-34-01,,,130,6.0,19,991.0,2.0,zang4;jang;장;Tạng;ゾウ;はらわた,entrails;viscera;bowels,,130,
1693,蔵,8535,1-34-02,,,140,6.0,15,468.0,2.0,cang2;zang4;jang;장;Tàng;Tạng;ゾウ;ソウ;くら;おさ.める;かく.れる,storehouse;hide;own;have;possess,くらし;くらん;くろう;さし;ざ;ろう,140,
1695,造,9020,1-34-04,,,162,5.0,10,429.0,2.0,zao4;jo;조;Tạo;Tháo;ゾウ;つく.る;つく.り;-づく.り,create;make;structure;physique,ずくり;づくり;み,162,
1696,促,4fc3,1-34-05,,,9,8.0,9,998.0,1.0,cu4;chog;촉;Xúc;ソク;うなが.す,stimulate;urge;press;demand;incite,,9,
1697,側,5074,1-34-06,,,9,4.0,11,216.0,2.0,ce4;ze4;cheug;측;Trắc;ソク;かわ;がわ;そば,side;lean;oppose;regret,,9,
1700,息,606f,1-34-09,,,61;132,3.0,10,882.0,2.0,xi1;xi2;sig;식;Tức;ソク;いき,breath;respiration;son;interest (on money);rest;coming to an end,,61,132
1701,捉,6349,1-34-10,,,64,8.0,10,1976.0,,zhuo1;chag;착;Tróc;ソク;サク;とら.える,catch;capture,,64,
1702,束,675f,1-34-11,,,75;4,4.0,7,918.0,2.0,shu4;sog;속;Thúc;Thú;ソク;たば;たば.ねる;つか;つか.ねる,bundle;sheaf;ream;tie in bundles;govern;manage;control,,75,4
1703,測,6e2c,1-34-12,,,85,5.0,12,761.0,2.0,ce4;cheug;측;Trắc;ソク;はか.る,fathom;plan;scheme;measure,,85,
1705,速,901f,1-34-14,,,162,3.0,10,576.0,2.0,su4;sog;속;Tốc;ソク;はや.い;はや-;はや.める;すみ.やか,quick;fast,わ,162,
1706,俗,4fd7,1-34-15,,,9,8.0,9,1610.0,1.0,su2;sog;속;Tục;ゾク,vulgar;customs;manners;worldliness;mundane things,,9,
1710,続,7d9a,1-34-19,,,120,4.0,13,141.0,2.0,xu4;sog;속;Tục;ゾク;ショク;コウ;キョウ;つづ.く;つづ.ける;つぐ.ない,continue;series;sequel,つぐ,120,
1714,揃,63c3,1-34-23,,,64,9.0,12,2412.0,,jian1;jeon;전;Tiên;Tiễn;セン;そろ.える;そろ.う;そろ.い;き.る,be complete;uniform;all present,,64,
1718,損,640d,1-34-27,,,64,5.0,13,807.0,2.0,sun3;son;손;Tổn;ソン;そこ.なう;そこな.う;-そこ.なう;そこ.ねる;-そこ.ねる,damage;loss;disadvantage;hurt;injure,,64,
1719,村,6751,1-34-28,,,75,1.0,7,253.0,3.0,cun1;chon;촌;Thôn;ソン;むら,village;town,え;むた;ら,75,
1720,遜,905c,1-34-29,,,162,8.0,13,,,xun4;son;손;Tốn;ソン;したが.う;へりくだ.る;ゆず.る,humble;modest,,162,
1721,他,4ed6,1-34-30,,,9,3.0,5,543.0,2.0,ta1;ta;타;Tha;タ;ほか,other;another;the others,,9,
1724,汰,6c70,1-34-33,,,85,8.0,7,,1.0,tai4;tae;태;Thái;Thải;タ;タイ;おご.る;にご.る;よな.げる,washing;sieving;filtering;weeding out;luxury,,85,
1725,詑,8a51,1-34-34,,,149,,12,,,tuo1;i;ta;이;타;Di;Tha;イ;タ;ダ;わ.びる;わ.び;あざむ.く,deceive;delude,,149,
1726,唾,553e,1-34-35,,,30,8.0,11,,,tuo4;ta;타;Thóa;ダ;タ;つば;つばき,saliva;sputum,,30,
1727,堕,5815,1-34-36,,,32,8.0,12,2087.0,1.0,duo4;hui1;ta;hyu;타;휴;Đọa;Đoạ;Huy;ダ;お.ちる;くず.す;くず.れる,degenerate;descend to;lapse into,,32,
1728,妥,59a5,1-34-37,,,38;87,8.0,7,1102.0,1.0,tuo3;ta;타;Thỏa;ダ,gentle;peace;satisfactory;appropriate,やす,38,87
1729,惰,60f0,1-34-38,,,61,8.0,12,2336.0,1.0,duo4;ta;타;Nọa;ダ,lazy;laziness,,61,
1730,打,6253,1-34-39,,,64,3.0,5,239.0,2.0,da3;ta;jeong;타;정;Đả;ダ;ダース;う.つ;う.ち-;ぶ.つ,strike;hit;knock;pound;dozen,うち,64,
1731,柁,67c1,1-34-40,,,75,,9,,,duo4;duo1;tuo2;ta;타;Đả;Đà;ダ;タ;かじ,rudder;helm;wheel,,75,
1733,楕,6955,1-34-42,,,75,9.0,13,2476.0,,tuo3;ta;타;Thỏa;ダ;タ,ellipse,,75,
1737,体,4f53,1-34-46,,,9,2.0,7,88.0,3.0,ti3;ben4;che;체;Thể;タイ;テイ;からだ;かたち,body;substance;object;reality;counter for images,なり,9,
1738,堆,5806,1-34-47,,,32,8.0,11,2184.0,,dui1;zui1;toe;퇴;Đôi;タイ;ツイ;うずたか.い,piled high,,32,
1744,怠,6020,1-34-53,,,61;28,8.0,9,1703.0,1.0,dai4;tae;태;Đãi;タイ;おこた.る;なま.ける,neglect;laziness,,61,28
1745,態,614b,1-34-54,,,61,5.0,14,353.0,1.0,tai4;tae;태;Thái;タイ;わざ.と,attitude;condition;figure;appearance;voice (of verbs),,61,
1748,泰,6cf0,1-34-57,,,85,8.0,10,1281.0,1.0,tai4;tae;태;Thái;タイ,peaceful;calm;peace;easy;Thailand;extreme;excessive;great,た;はす;ひろ;や;やす;やすし;ゆたか;よし,85,
1749,滞,6ede,1-34-58,,,85,8.0,13,1107.0,1.0,zhi4;che;체;Trệ;タイ;テイ;とどこお.る,stagnate;be delayed;overdue;arrears,,85,
1750,胎,80ce,1-34-59,,,130,8.0,9,1861.0,1.0,tai1;tae;태;Thai;タイ,womb;uterus,,130,
1751,腿,817f,1-34-60,,,130,,13,,,tui3;toe;퇴;Thối;タイ;もも,thigh;femur,,130,
1752,苔,82d4,1-34-61,,,140,9.0,8,,,tai2;tai1;tae;태;Đài;タイ;こけ;こけら,moss;lichen,,140,
1755,退,9000,1-34-64,,,162,6.0,9,424.0,2.0,tui4;toe;퇴;Thối;Thoái;タイ;しりぞ.く;しりぞ.ける;ひ.く;の.く;の.ける;ど.く,retreat;withdraw;retire;resign;repel;expel;reject,,162,
1756,逮,902e,1-34-65,,,162,8.0,11,766.0,1.0,dai4;dai3;che;tae;체;태;Đãi;Đệ;タイ,apprehend;chase,,162,
1760,代,4ee3,1-34-69,,,9,3.0,5,66.0,3.0,dai4;dae;대;Đại;ダイ;タイ;か.わる;かわ.る;かわ.り;か.わり;-がわ.り;-が.わり;か.える;よ;しろ,"substitute;change;convert;replace;period;age;counter for decades of ages, eras, etc.;generation;charge;rate;fee",す,9,
1761,台,53f0,1-34-70,,,30;28,2.0,5,262.0,3.0,tai2;tai1;tae;i;태;이;Thai;Đài;Di;ダイ;タイ;うてな;われ;つかさ,pedestal;a stand;counter for machines and vehicles,,30,28
1763,第,7b2c,1-34-72,,,118,3.0,11,160.0,2.0,di4;je;제;Đệ;ダイ;テイ,No.;residence,,118,
1767,滝,6edd,1-34-76,,,85,8.0,13,1478.0,1.0,long2;shuang1;rong;롱;Long;Lùng;Rông;Rồng;Sông;Suông;ロウ;ソウ;たき,waterfall;rapids;cascade,らき,85,
1768,瀧,7027,1-34-77,,,85,10.0,19,,,long2;shuang1;rong;롱;Lang;ロウ;ソウ;たき,waterfall;rapids;cascade,,85,
1770,啄,5544,1-34-79,,,30,9.0,10,2463.0,1.0,zhuo2;tag;탁;Trác;タク;ツク;トク;ついば.む;つつ.く,peck;pick up,くち;はし;ばし,30,
1772,托,6258,1-34-81,,,64,9.0,6,,,tuo1;tag;탁;Thác;タク;たく.する;たの.む,requesting;entrusting with;pretend;hint,,64,
1773,択,629e,1-34-82,,,64,8.0,7,847.0,1.0,ze2;zhai2;taeg;택;Mân;Thước;Xách;タク;えら.ぶ,choose;select;elect;prefer,,64,
1774,拓,62d3,1-34-83,,,64,8.0,8,1526.0,1.0,tuo4;ta4;cheog;tag;척;탁;Thác;Tháp;タク;ひら.く,clear (the land);open;break up (land),つ;ひろ,64,
1775,沢,6ca2,1-34-84,,,85,8.0,7,296.0,1.0,ze2;taeg;seog;택;석;Trạch;タク;さわ;うるお.い;うるお.す;つや,swamp;marsh;brilliance;grace,おも;さ;さわん;わさ,85,
1776,濯,6fef,1-34-85,,,85,8.0,17,1698.0,2.0,zhuo2;tag;탁;Trạc;タク;すす.ぐ;ゆす.ぐ,laundry;wash;pour on;rinse,,85,
1778,託,8a17,1-34-87,,,149,8.0,10,1021.0,1.0,tuo1;tag;탁;Thác;タク;かこつ.ける;かこ.つ;かこ.つける,consign;requesting;entrusting with;pretend;hint,,149,
1779,鐸,9438,1-34-88,,,167,,21,,,duo2;tag;탁;Đạc;タク,large hand bell,すず,167,
1780,濁,6fc1,1-34-89,,,85,8.0,16,1883.0,1.0,zhuo2;tag;탁;Trọc;Trạc;ダク;ジョク;にご.る;にご.す,voiced;uncleanness;wrong;nigori;impurity,にごり,85,
1781,諾,8afe,1-34-90,,,149,8.0,15,1490.0,1.0,nuo4;nag;rag;낙;락;Nặc;ダク,consent;assent;agreement,,149,
1782,茸,8338,1-34-91,,,140,9.0,9,,,rong2;rong3;yong;용;Nhung;Nhũng;ジョウ;ニュ;きのこ;たけ;しげ.る,mushroom,,140,
1784,蛸,86f8,1-34-93,,,142,,13,,,shao1;xiao1;so;소;Sao;ソウ;ショウ;たこ,octopus,,142,
1785,只,53ea,1-34-94,,,30,9.0,5,2288.0,1.0,zhi3;zhi1;ji;지;Chỉ;シ;ただ,only;free;in addition,,30,
1786,叩,53e9,1-35-01,,,30,,5,2316.0,,kou4;go;고;Khấu;コウ;たた.く;はた.く;すぎ,strike;beat;kow tow;hit;thrash;criticize,,30,
1787,但,4f46,1-35-02,,,9,8.0,7,2404.0,1.0,dan4;dan;단;Đãn;タン;ただ.し,however;but,たじ,9,
1788,達,9054,1-35-03,,,162,4.0,12,500.0,2.0,da2;dal;달;Đạt;タツ;ダ;-たち,accomplished;reach;arrive;attain,かつ;さと;て;てつ;とおる;みち,162,
1791,脱,8131,1-35-06,,,130,8.0,11,782.0,1.0,tuo1;tal;tae;탈;태;Đoái;Thoát;Thoắt;Thoạt;Xoát;ダツ;ぬ.ぐ;ぬ.げる,undress;removing;escape from;get rid of;be left out;take off,,130,
1794,辿,8fbf,1-35-09,,,162,9.0,6,,,chan1;cheon;천;Siêm;テン;たど.る;たどり,follow (road);pursue,,162,
1795,棚,68da,1-35-10,,,75,8.0,12,1594.0,1.0,peng2;bung;paeng;붕;팽;Bằng;ホウ;たな;-だな,shelf;ledge;rack;mount;mantle;trellis,,75,
1799,樽,6a3d,1-35-14,,,75,9.0,16,1981.0,,zun1;jun;준;Tôn;ソン;たる,barrel;cask;keg,,75,
1800,誰,8ab0,1-35-15,,,149,8.0,15,1933.0,,shui2;shei2;su;수;Thùy;スイ;だれ;たれ;た,who;someone;somebody,,149,
1803,嘆,5606,1-35-18,,,30,8.0,13,1584.0,1.0,tan4;tan;탄;Thán;タン;なげ.く;なげ.かわしい,sigh;lament;moan;grieve;sigh of admiration,,30,
1804,坦,5766,1-35-19,,,32,9.0,8,,,tan3;tan;탄;Thản;タン;たいら,level;wide,やす,32,
1805,担,62c5,1-35-20,,,64,6.0,8,422.0,2.0,dan4;dan1;dan3;dan;단;Đam;Đảm;Đãn;Đản;Đẵm;Đán;Đắn;Đẵn;Dằng;Đét;Đởm;Dứt;Đứt;Tạ;タン;かつ.ぐ;にな.う,shouldering;carry;raise;bear,,64,
1806,探,63a2,1-35-21,,,64,6.0,11,930.0,2.0,tan4;tan1;tam;탐;Tham;Thám;タン;さぐ.る;さが.す,grope;search;look for,,64,
1809,淡,6de1,1-35-24,,,85,8.0,11,1436.0,1.0,dan4;dam;담;Đạm;タン;あわ.い,thin;faint;pale;fleeting,,85,
1810,湛,6e5b,1-35-25,,,85,9.0,12,2183.0,,zhan4;dam;chim;담;침;Trạm;Đam;Thầm;Tiêm;タン;チン;ジン;セン;しず.む;たた.える,fill;wear (a smile);clear;pure;dense;deep,かん;きよ;たたう;たたえ;やす,85,
1814,箪,7baa,1-35-29,,,118,,15,,,dan1;dan;단;Đan;タン;はこ,bamboo rice basket,,118,
1815,綻,7dbb,1-35-30,,,120,8.0,14,,,zhan4;tan;탄;Trán;タン;ほころ.びる,be rent;ripped;unravel;run;begin to open;smile,,120,
1817,胆,80c6,1-35-32,,,130,8.0,9,1449.0,1.0,dan3;dan;단;Đảm;タン;きも,gall bladder;courage;pluck;nerve,い;まこと,130,
1818,蛋,86cb,1-35-33,,,142;103,,11,2266.0,,dan4;dan;단;Đản;タン,barbarian;egg,,142,103
1819,誕,8a95,1-35-34,,,149,6.0,15,1024.0,1.0,dan4;tan;탄;Đản;タン,nativity;be born;declension;lie;be arbitrary,,149,
1820,鍛,935b,1-35-35,,,167,8.0,17,1793.0,1.0,duan4;dan;단;Đoán;タン;きた.える,forge;discipline;train,か,167,
1822,壇,58c7,1-35-37,,,32,8.0,16,1512.0,1.0,tan2;dan;단;Đàn;ダン;タン,podium;stage;rostrum;terrace,,32,
1826,檀,6a80,1-35-41,,,75,9.0,17,2291.0,1.0,tan2;dan;단;Đàn;ダン;タン;まゆみ,cedar;sandalwood;spindle tree,,75,
1829,談,8ac7,1-35-44,,,149,3.0,15,272.0,2.0,tan2;dam;담;Đàm;ダン,discuss;talk,,149,
1830,値,5024,1-35-45,,,9,6.0,10,518.0,2.0,zhi2;chi;치;Trị;チ;ね;あたい,price;cost;value,じ,9,
1832,地,5730,1-35-47,,,32,2.0,6,40.0,3.0,di4;de5;ji;지;Địa;チ;ジ,ground;earth,どま,32,
1834,恥,6065,1-35-49,,,61;128,8.0,10,1575.0,2.0,chi3;chi;치;Sỉ;チ;は.じる;はじ;は.じらう;は.ずかしい,shame;dishonor,,61,128
1836,池,6c60,1-35-51,,,85,2.0,6,827.0,3.0,chi2;ji;ta;지;타;Trì;チ;いけ,pond;cistern;pool;reservoir,,85,
1841,蜘,8718,1-35-56,,,142,,14,,,zhi1;ji;지;Tri;チ;くも,spider,,142,
1842,遅,9045,1-35-57,,,162,8.0,12,833.0,2.0,chi2;ji;지;Trì;チ;おく.れる;おく.らす;おそ.い,slow;late;back;later,じ,162,
1844,築,7bc9,1-35-59,,,118,5.0,16,821.0,2.0,zhu2;zhu4;chug;축;Trúc;チク;きず.く,fabricate;build;construct,つい;つき;つく;づき,118,
1846,竹,7af9,1-35-61,,,118,1.0,6,593.0,2.0,zhu2;jug;죽;Trúc;チク;たけ,bamboo,たか,118,
1847,筑,7b51,1-35-62,,,118,9.0,12,1530.0,,zhu2;zhu4;chug;축;Trúc;チク,an ancient musical instrument,つく;づき,118,
1848,蓄,84c4,1-35-63,,,140,8.0,13,1260.0,1.0,xu4;chug;축;Súc;チク;たくわ.える,amass;raise;hoard;store,,140,
1849,逐,9010,1-35-64,,,162,8.0,10,2230.0,1.0,zhu2;chug;jeog;축;적;Trục;チク,pursue;drive away;chase;accomplish;attain;commit,,162,
1852,茶,8336,1-35-67,,,140,2.0,9,1116.0,3.0,cha2;da;cha;다;차;Trà;チャ;サ,tea,ちや,140,
1853,嫡,5ae1,1-35-68,,,38,8.0,14,2130.0,1.0,di2;jeog;적;Đích;チャク;テキ,legitimate wife;direct descent (non-bastard),,38,
1856,仲,4ef2,1-35-71,,,9,4.0,6,919.0,2.0,zhong4;jung;중;Trọng;チュウ;なか,go-between;relationship,ちゅん;つづき;なかつ,9,
1858,忠,5fe0,1-35-73,,,61,6.0,8,1113.0,1.0,zhong1;chung;충;Trung;チュウ,loyalty;fidelity;faithfulness,きよし;たた;ただ;ただし;なお,61,
1859,抽,62bd,1-35-74,,,64,8.0,8,1437.0,1.0,chou1;chu;추;Trừu;チュウ;ひき-,pluck;pull;extract;excel,,64,
1861,柱,67f1,1-35-76,,,75,3.0,9,1119.0,2.0,zhu4;ju;주;Trụ;Trú;チュウ;はしら,pillar;post;cylinder;support,,75,
1862,注,6ce8,1-35-77,,,85,3.0,8,497.0,3.0,zhu4;ju;주;Chú;チュウ;そそ.ぐ;さ.す;つ.ぐ,pour;irrigate;shed (tears);flow into;concentrate on;notes;comment;annotate,,85,
1863,虫,866b,1-35-78,,,142,1.0,6,1351.0,2.0,chong2;hui3;hwe;chung;훼;충;Trùng;チュウ;キ;むし,insect;bug;temper,む,142,
1865,註,8a3b,1-35-80,,,149,9.0,12,,,zhu4;ju;주;Chú;チュウ,notes;comment;annotate,,149,
1867,鋳,92f3,1-35-82,,,167,8.0,15,2005.0,1.0,zhu4;ju;주;Chú;Cục;チュウ;イ;シュ;シュウ;い.る,casting;mint,,167,
1869,樗,6a17,1-35-84,,,75,,15,,,shu1;chu1;jeo;hwa;저;화;Xư;チョ;おおち;おうち,Japanese bead tree,ちょう,75,
1870,瀦,7026,1-35-85,,,85,,18,,,zhu1;jeo;저;Trư;チョ,pool;puddle,ずま,85,
1872,苧,82e7,1-35-87,,,140,,8,,,zhu4;ning2;jeo;저;Trữ;チョ;お;からんし;からむし,hemp;flax,,140,
1873,著,8457,1-35-88,,,140,6.0,11,849.0,2.0,zhu4;zhe5;zhao1;zhao2;zhu3;zi1;jeo;chag;저;착;Trứ;チョ;チャク;あらわ.す;いちじる.しい,renowned;publish;write;remarkable;phenomenal;put on;don;wear;arrival;finish (race);counter for suits of clothing;literary work,,140,
1878,喋,558b,1-35-93,,,30,9.0,12,2403.0,,die2;zha2;cheob;jab;첩;잡;Điệp;チョウ;トウ;しゃべ.る;ついば.む,talk;chat;chatter,,30,
1887,懲,61f2,1-36-08,,,61,8.0,18,1303.0,1.0,cheng2;jing;징;Trừng;チョウ;こ.りる;こ.らす;こ.らしめる,penal;chastise;punish;discipline,,61,
1888,挑,6311,1-36-09,,,64,8.0,9,989.0,1.0,tiao1;tiao3;do;jo;도;조;Thiêu;Thiểu;Thao;チョウ;いど.む,challenge;contend for;make love to,,64,
1891,潮,6f6e,1-36-12,,,85,6.0,15,1231.0,1.0,chao2;jo;조;Triều;チョウ;しお;うしお,tide;salt water;opportunity,いた,85,
1896,脹,8139,1-36-17,,,130,9.0,12,,1.0,zhang4;chang;창;Trướng;チョウ;は.れる;ふく.らむ;ふく.れる,dilate;distend;bulge;fill out;swell,,130,
1897,腸,8178,1-36-18,,,130,6.0,13,1807.0,1.0,chang2;jang;장;Tràng;Trường;チョウ;はらわた;わた,intestines;guts;bowels;viscera,,130,
1898,蝶,8776,1-36-19,,,142,9.0,15,2011.0,1.0,die2;jeob;접;Điệp;チョウ,butterfly,,142,
1899,調,8abf,1-36-20,,,149,3.0,15,87.0,2.0,diao4;tiao2;jo;ju;조;주;Điều;Điệu;チョウ;しら.べる;しら.べ;ととの.う;ととの.える,tune;tone;meter;key (music);writing style;prepare;exorcise;investigate;harmonize;mediate,ぎ;つぎ,149,
1900,諜,8adc,1-36-21,,,149,,16,2445.0,,die2;cheob;첩;Điệp;チョウ;ちょう.ずる;うかが.う;しめ.す,spy out;reconnoiter,,149,
1903,銚,929a,1-36-24,,,167,,14,2102.0,,yao2;diao4;jo;yo;조;요;Diêu;Điệu;Điều;チョウ;ヨウ;なべ,sake bottle,,167,
1908,捗,6357,1-36-29,,,64,8.0,10,,,bu4;cheog;bo;척;보;Duệ;チョク;ホ;はかど.る,make progress,,64,
1911,沈,6c88,1-36-32,,,85,8.0,7,1271.0,2.0,chen2;shen3;chim;sim;침;심;Trầm;Thẩm;Trấm;チン;ジン;しず.む;しず.める,sink;be submerged;subside;be depressed;aloes,しん,85,
1914,鎮,93ae,1-36-35,,,167,8.0,18,1617.0,1.0,zhen4;jin;진;Trấn;Chắn;Chận;Chớn;Dấn;Giấn;Sán;Sấn;Trớn;チン;しず.める;しず.まる;おさえ,tranquilize;ancient peace-preservation centers,しげ;じん;ちか;しん,167,
1916,津,6d25,1-36-37,,,85,8.0,9,1036.0,1.0,jin1;jin;진;Tân;シン;つ,haven;port;harbor;ferry,ず;ち;と,85,
1917,墜,589c,1-36-38,,,32,8.0,15,1466.0,1.0,zhui4;chu;추;Trụy;ツイ;お.ちる;お.つ,crash;fall (down),,32,
1920,追,8ffd,1-36-41,,,162,3.0,9,411.0,2.0,zhui1;chu;toe;추;퇴;Truy;Đôi;ツイ;お.う,chase;drive away;follow;pursue;meanwhile,おい,162,
1921,鎚,939a,1-36-42,,,167,,17,,,chui2;chu;toe;추;퇴;Chùy;ツイ;タイ;つち,hammer;mallet,,167,
1923,通,901a,1-36-44,,,162,2.0,10,80.0,3.0,tong1;tong4;tong;통;Thông;ツウ;ツ;とお.る;とお.り;-とお.り;-どお.り;とお.す;とお.し;-どお.し;かよ.う,"traffic;pass through;avenue;commute;counter for letters, notes, documents, etc.",とん;どうし;どおり;みち,162,
1924,塚,585a,1-36-45,,,32,8.0,12,869.0,1.0,zhong3;chong;총;Trủng;チョウ;つか;-づか,hillock;mound,ずか;つ,32,
1926,掴,63b4,1-36-47,,,64,,11,,,guo2;guai1;gwig;귁;Quắc;Quặc;Quách;Quốc;カク;つか.む;つか.まえる;つか.まる,catch;seize;grasp;hold;arrest;capture,,64,
1928,佃,4f43,1-36-49,,,9,9.0,7,2193.0,,dian4;tian2;jeon;전;Điền;テン;デン;つくだ,cultivated rice field,,9,
1929,漬,6f2c,1-36-50,,,85,8.0,14,1818.0,1.0,zi4;ji;지;Tí;シ;つ.ける;つ.かる;-づ.け;-づけ,pickling;soak;moisten;steep,,85,
1931,辻,8fbb,1-36-52,,,162,9.0,5,1614.0,,sib;십;Thập;Mời;Mười;つじ,crossing;crossroad;street corners;(kokuji),,162,
1932,蔦,8526,1-36-53,,,140,9.0,14,2215.0,1.0,niao3;jo;조;Điểu;チョウ;つた,vine;ivy,たつ,140,
1933,綴,7db4,1-36-54,,,120,9.0,14,2149.0,,zhui4;cheol;che;철;체;Chuế;Chuyết;Xuyết;テイ;テツ;テチ;ゲツ;と.じる;つづ.る;つづり;すみ.やか,compose;spell;write;bind (books),,120,
1934,鍔,9354,1-36-55,,,167,,17,,,e4;ag;악;Ngạc;ガク;つば,sword guard;kettle brim,,167,
1936,潰,6f70,1-36-57,,,85,8.0,15,,,kui4;hui4;gwe;궤;Hội;カイ;エ;つぶ.す;つぶ.れる;つい.える,crush;smash;break;dissipate,,85,
1937,坪,576a,1-36-58,,,32,8.0,8,1823.0,1.0,ping2;pyeong;평;Bình;ヘイ;つぼ,two-mat area;approx. thirty-six sq ft,,32,
1939,嬬,5b2c,1-36-60,,,38,,17,,,xu1;yu;su;유;수;Nhu;ジュ;よわ.い,mistress;weak,つま,38,
1940,紬,7d2c,1-36-61,,,120,9.0,11,,1.0,chou2;ju;주;Trừu;チュウ;つむぎ;つむ.ぐ,pongee (a knotted silk cloth),,120,
1942,吊,540a,1-36-63,,,30,,6,2475.0,,diao4;jo;jeog;조;적;Điếu;チョウ;つ.る;つる.す,suspend;hang;wear (sword),,30,
1943,釣,91e3,1-36-64,,,167,8.0,11,1542.0,1.0,diao4;jo;조;Điếu;チョウ;つ.る;つ.り;つ.り-,angling;fish;catch;allure;ensnare,つり,167,
1946,低,4f4e,1-36-67,,,9,4.0,7,435.0,3.0,di1;jeo;저;Đê;テイ;ひく.い;ひく.める;ひく.まる,lower;short;humble,,9,
1947,停,505c,1-36-68,,,9,5.0,11,733.0,2.0,ting2;jeong;정;Đình;テイ;と.める;と.まる,halt;stopping,,9,
1948,偵,5075,1-36-69,,,9,8.0,11,1857.0,1.0,zhen1;jeong;정;Trinh;テイ,spy,,9,
1951,呈,5448,1-36-72,,,30,8.0,7,1571.0,1.0,cheng2;jeong;정;Trình;テイ,display;offer;present;send;exhibit,,30,
1952,堤,5824,1-36-73,,,32,8.0,12,1658.0,1.0,di1;ti2;je;제;Chỉ;テイ;つつみ,dike;bank;embankment,,32,
1959,悌,608c,1-36-80,,,61,9.0,10,2474.0,1.0,ti4;je;제;Đễ;テイ;ダイ,serving our elders,とも;やす;やすし;よし;ちか,61,
1960,抵,62b5,1-36-81,,,64,8.0,8,1182.0,1.0,di3;jeo;ji;저;지;Để;Chỉ;テイ,resist;reach;touch,,64,
1961,挺,633a,1-36-82,,,64,9.0,10,2189.0,,ting3;jeong;정;Đĩnh;チョウ;テイ;ぬ.く,"bravely volunteer;counter for guns, inksticks, palanquins, rickshaws",,64,
